Depth,Soil,p1,y1,p2,y2,p3,y3,p4,y4,p5,y5
1,sand,1.7693697757127465,4.081632653061225,5.308109327138239,4.081632653061225,8.846848878563732,4.081632653061225,12.385588429989223,4.081632653061225,17.693697757127463,200
2,sand,2.2519251690889495,4.081632653061225,6.755775507266848,4.081632653061225,11.259625845444747,4.081632653061225,15.763476183622645,4.081632653061225,22.519251690889494,200
3,sand,2.171499270192916,4.081632653061225,6.514497810578748,4.081632653061225,10.85749635096458,4.081632653061225,15.20049489135041,4.081632653061225,21.71499270192916,200
4,sand,2.895332360257221,4.081632653061225,8.685997080771662,4.081632653061225,14.476661801286104,4.081632653061225,20.267326521800545,4.081632653061225,28.95332360257221,200
5,clay,53.550000000000004,2,160.65,4.800000000000001,267.75,20,374.84999999999997,56.36363636363635,535.5,1000
6,clay,58.86000000000001,2,176.58,4.799999999999999,294.3,20,412.02,56.36363636363637,588.6,1000
7,clay,64.17,2,192.51000000000002,4.800000000000001,320.85,20,449.19,56.36363636363635,641.7,1000
8,clay,69.48,2,208.43999999999997,4.799999999999999,347.4,20,486.35999999999996,56.36363636363635,694.8,1000
9,clay,74.79,2,224.36999999999998,4.799999999999999,373.95,20,523.53,56.36363636363637,747.9,1000
10,sand-silt,9.099615989379839,4.081632653061225,27.298847968139512,4.081632653061225,45.49807994689919,4.081632653061225,63.69731192565886,4.081632653061225,90.99615989379838,200
11,clay,74.8125,6,224.4375,7.96,374.0625,18.599999999999998,523.6875,46.4,748.125,1000
12,clay,78.375,6,235.125,7.96,391.875,18.599999999999998,548.625,46.4,783.75,1000
13,clay,81.9375,6,245.8125,7.96,409.6875,18.599999999999998,573.5625,46.4,819.375,1000
14,clay,85.5,6,256.5,7.96,427.5,18.599999999999998,598.5,46.4,855,1000
15,clay,89.0625,6,267.1875,7.96,445.3125,18.599999999999998,623.4375,46.4,890.625,1000
16,sand-silt,22.447378466092637,4.081632653061225,67.3421353982779,4.081632653061225,112.23689233046318,4.081632653061225,157.13164926264844,4.081632653061225,224.47378466092636,200
17,sand-silt,23.850339620223426,4.081632653061225,71.55101886067027,4.081632653061225,119.25169810111713,4.081632653061225,166.95237734156396,4.081632653061225,238.50339620223426,200
18,sand-silt,25.253300774354216,4.081632653061225,75.75990232306265,4.081632653061225,126.26650387177108,4.081632653061225,176.7731054204795,4.081632653061225,252.53300774354216,200
19,sand-silt,26.656261928485005,4.081632653061225,79.96878578545501,4.081632653061225,133.28130964242501,4.081632653061225,186.593833499395,4.081632653061225,266.56261928485003,200
20,sand-silt,28.059223082615798,4.081632653061225,84.17766924784739,4.081632653061225,140.29611541307898,4.081632653061225,196.41456157831055,4.081632653061225,280.59223082615796,200
21,sand-silt,29.462184236746584,4.081632653061225,88.38655271023974,4.081632653061225,147.31092118373292,4.081632653061225,206.23528965722608,4.081632653061225,294.62184236746583,200
22,sand-silt,30.865145390877377,4.081632653061225,92.59543617263212,4.081632653061225,154.32572695438688,4.081632653061225,216.05601773614163,4.081632653061225,308.65145390877376,200
23,sand-silt,32.268106545008166,4.081632653061225,96.80431963502448,4.081632653061225,161.34053272504082,4.081632653061225,225.87674581505712,4.081632653061225,322.68106545008163,200
24,sand-silt,33.67106769913896,4.081632653061225,101.01320309741686,4.081632653061225,168.35533849569478,4.081632653061225,235.69747389397267,4.081632653061225,336.71067699138956,200
25,sand-silt,35.074028853269745,4.081632653061225,105.22208655980923,4.081632653061225,175.37014426634872,4.081632653061225,245.5182019728882,4.081632653061225,350.74028853269743,200
26,sand-silt,36.47699000740053,4.081632653061225,109.43097002220159,4.081632653061225,182.38495003700265,4.081632653061225,255.3389300518037,4.081632653061225,364.7699000740053,200
27,sand-silt,37.879951161531324,4.081632653061225,113.63985348459397,4.081632653061225,189.39975580765662,4.081632653061225,265.15965813071927,4.081632653061225,378.79951161531324,200
28,sand-silt,39.28291231566212,4.081632653061225,117.84873694698632,4.081632653061225,196.41456157831055,4.081632653061225,274.98038620963473,4.081632653061225,392.8291231566211,200
29,sand-silt,40.68587346979291,4.081632653061225,122.0576204093787,4.081632653061225,203.42936734896452,4.081632653061225,284.8011142885503,4.081632653061225,406.85873469792904,200
30,sand-silt,42.088834623923695,4.081632653061225,126.26650387177106,4.081632653061225,210.44417311961845,4.081632653061225,294.62184236746583,4.081632653061225,420.8883462392369,200
31,sand-silt,43.49179577805448,4.081632653061225,130.47538733416343,4.081632653061225,217.4589788902724,4.081632653061225,304.44257044638135,4.081632653061225,434.9179577805448,200
32,sand-silt,44.894756932185274,4.081632653061225,134.6842707965558,4.081632653061225,224.47378466092636,4.081632653061225,314.2632985252969,4.081632653061225,448.9475693218527,200
33,sand-silt,46.29771808631607,4.081632653061225,138.8931542589482,4.081632653061225,231.48859043158032,4.081632653061225,324.08402660421245,4.081632653061225,462.97718086316064,200
34,sand-silt,47.70067924044685,4.081632653061225,143.10203772134054,4.081632653061225,238.50339620223426,4.081632653061225,333.9047546831279,4.081632653061225,477.0067924044685,200
35,sand-silt,49.103640394577646,4.081632653061225,147.31092118373292,4.081632653061225,245.51820197288822,4.081632653061225,343.7254827620435,4.081632653061225,491.03640394577644,200
36,sand-silt,50.50660154870843,4.081632653061225,151.5198046461253,4.081632653061225,252.53300774354216,4.081632653061225,353.546210840959,4.081632653061225,505.0660154870843,200
37,clay,145.35,6,436.05,7.96,726.75,18.599999999999998,1017.4499999999999,46.39999999999999,1453.5,1000
38,clay,145.35,6,436.05,7.96,726.75,18.599999999999998,1017.4499999999999,46.39999999999999,1453.5,1000
39,clay,145.35,6,436.05,7.96,726.75,18.599999999999998,1017.4499999999999,46.39999999999999,1453.5,1000
40,clay,145.35,6,436.05,7.96,726.75,18.599999999999998,1017.4499999999999,46.39999999999999,1453.5,1000
